Administrative port,Home port,Port letters and numbers,Vessel name,Registry of Shipping and Seamen number,Licence number,Fish producer organisation,Overall length,Registered tonnage,Engine power,Vessel capacity units,Year built,Hull,Country of construction,Shellfish  licence (Y/N),Scallop licence (Y/N)
ABERDEEN,ABERDEEN,WK46,LILY V,A10911,44163,NON-SECTOR,10.3,10.36,82,82.632,1983,W,GBR,Y,N
ABERDEEN,ABERDEEN,AH4,BONNIE LASS II,C20280,11955,NON-SECTOR,10.4,9.41,140,103.872,2012,F,GBR,Y,N
ABERDEEN,ABERDEEN,A441,BOY GORDON V,B10713,40414,ABERDEEN FPO LTD,11.28,28.06,94,94.639,1989,F,GBR,Y,N
ABERDEEN,MILFORD HAVEN,KY19,PROVIDER,B11754,11432,THE FIFE FPO LTD,11.43,40.13,221,159.8,1990,S,GBR,N,Y
ABERDEEN,STONEHAVEN,A865,HARVESTER,A12901,40272,NON-SECTOR,11.83,19.64,85,89.829,1973,W,GBR,N,Y
ABERDEEN,GOURDON,ME216,STROMA ISLE,A13925,40871,NON-SECTOR,12.2,15.67,156,124.856,1974,W,GBR,N,Y
ABERDEEN,ABERDEEN,A913,DALWHINNIE,C19944,41414,NON-SECTOR,12.48,9.28,449,248.725,2011,F,ISL,Y,N
ABERDEEN,GOURDON,ME87,EMMA KATHLEEN,A12774,44469,NORTHERN PRODUCERS ORGANISATION LTD,14.33,42.92,231,180.615,1988,W,GBR,N,Y
ABERDEEN,GOURDON,ME47,SHARONA,A11541,44251,NORTHERN PRODUCERS ORGANISATION LTD,14.96,35.57,184,164.332,1976,W,GBR,N,Y
AYR,AYR,GK6,CHALLENGER,B14730,41621,NON-SECTOR,10.27,7.32,145,100.476,1996,F,GBR,Y,N
AYR,AYR,CN779,SEA VENTURE,C18632,70006,NON-SECTOR,10.34,14.24,149,116.682,1996,F,GBR,N,Y
AYR,AYR,SR48,LUCKY LUCY,B10363,41644,NON-SECTOR,11.25,10.07,230,146.925,1989,F,GBR,Y,N
AYR,AYR,GK8,ABOUT TIME,A20475,11303,EASTERN ENGLAND FISH PRODUCERS ORGANISATION LTD,11.9,16.24,126.7,110.565,1987,W,GBR,N,Y
AYR,KIRKCUDBRIGHT,DS2,SECOND DEGREE,B10282,44695,NON-SECTOR,12,23.98,239,198.99,1989,S,GBR,N,Y
AYR,AYR,BA850,BRIGHT HORIZON,C19402,11964,NON-SECTOR,12.14,13.99,435.6,254.899,2008,F,GBR,Y,N
AYR,TROON,OB129,WESTON BAY,A12893,44476,SCOTTISH FISHERMENS ORGANISATION,12.2,21.28,149,123.536,1985,F,UNK,N,N
AYR,AYR,BA847,ARCTIC MOON,A10991,40636,SCOTTISH FISHERMENS ORGANISATION,12.41,18.59,72.7,86.078,1974,W,UNK,N,Y
AYR,HOLYHEAD,GK291,PRIDE OF WALES,A14719,10219,NON-SECTOR,12.59,31.24,127,115.945,1982,W,GBR,N,Y
AYR,KIRKWALL,K355,OUR VENTURE,A13566,10153,NORTHERN PRODUCERS ORGANISATION LTD,12.75,33.27,235,168.863,1982,S,GBR,N,Y
AYR,KIRKCUDBRIGHT,BA809,ARGO,C16207,11037,NORTHERN PRODUCERS ORGANISATION LTD,13,21.69,138,126.45,1997,S,GBR,N,Y
AYR,AYR,OB15,KAYLEIGH M,A12187,44368,WEST OF SCOTLAND FPO LTD,13.08,28.53,216,169.009,1981,S,GBR,N,N
AYR,KIRKCUDBRIGHT,BA17,ASKARI,B14107,40497,NON-SECTOR,13.27,21.81,175.3,151.605,1994,S,GBR,N,Y
AYR,AYR,DS4,CHARITY & LIBERTY,C18510,11960,NORTH SEA FISHERMENS ORGANISATION LTD,14.95,40.1,221,188.402,2005,S,GBR,N,Y
AYR,DUNURE,BA107,SPES BONA V,C18242,40647,SCOTTISH FISHERMENS ORGANISATION,14.95,51.56,195,175.955,2004,S,GBR,N,Y
AYR,TROON,BA120,DAWN WATCH II,A10315,44045,SCOTTISH FISHERMENS ORGANISATION,15.69,41,175,160.495,1962,W,GBR,N,N
AYR,AYR,LH19,SILVER CREST II,A12239,44383,SCOTTISH FISHERMENS ORGANISATION,15.71,40.3,131,141.742,1969,W,GBR,N,N
AYR,ANNAN,A52,MARIGOLD,A10172,40008,NON-SECTOR,15.78,34,179,163.711,1968,W,GBR,N,Y
AYR,ANNAN,BA156,QUEENSBERRY,A10337,44051,NON-SECTOR,15.9,35,201,175.674,1971,W,GBR,N,Y
AYR,KIRKCUDBRIGHT,BA817,ACADEMUS,C16487,40861,NON-SECTOR,16.11,66,221,190.472,1998,S,GBR,N,Y
AYR,KIRKCUDBRIGHT,BA224,AZTEC,A10387,44054,NON-SECTOR,16.15,59,216,188.932,1986,S,GBR,N,Y
AYR,MARYPORT,BA316,ISLANDER,A11838,11677,NORTHERN IRELAND FPO LTD,16.66,35,134,148.098,1967,W,UNK,N,Y
AYR,ANNAN,KY28,UBIQUE,A12092,10101,ANGLO-SCOTTISH FPO LTD,16.67,41,221,186.801,1974,W,GBR,N,Y
AYR,AYR,AH71,PROVIDER,A10184,10540,SCOTTISH FISHERMENS ORGANISATION,16.83,60,155,163.661,1972,W,GBR,N,N
AYR,TROON,AR871,TRUST,A11687,50037,NORTHERN PRODUCERS ORGANISATION LTD,16.83,58,201,179.649,1974,W,GBR,N,N
AYR,TROON,AR190,SILVER QUEST,A10726,44124,SCOTTISH FISHERMENS ORGANISATION,16.92,56,172,169.614,1971,W,GBR,N,N
AYR,TROON,BA19,FAIR MORN,A11185,40122,SCOTTISH FISHERMENS ORGANISATION,17.1,24.24,179,173.232,1973,W,GBR,N,N
AYR,KIRKCUDBRIGHT,BA70,AZULA,B11590,44728,NON-SECTOR,17.13,66,350,258.224,1990,S,UNK,N,Y
AYR,AYR,OB235,REBEKAH JAYNE,A11560,10087,SCOTTISH FISHERMENS ORGANISATION,17.2,76,279,221.01,1978,W,GBR,N,N
AYR,AYR,TT282,SEMPER VICTORIA,A19063,41032,NON-SECTOR,17.2,44,171,155.726,1967,S,UNK,N,Y
AYR,AYR,SY503,OCEAN HUNTER,A13844,40918,SCOTTISH FISHERMENS ORGANISATION,17.22,66,270,222.754,1969,W,GBR,N,N
AYR,KIRKCUDBRIGHT,BA359,ST APOLLO,A17819,40378,SCOTTISH FISHERMENS ORGANISATION,18.21,51,328,250.486,1979,S,GBR,N,Y
AYR,KIRKCUDBRIGHT,BA804,ARGOSY,B14552,40746,NON-SECTOR,18.25,96,335.7,271.515,1995,S,GBR,N,Y
AYR,KIRKCUDBRIGHT,BA500,AQUINIS,B12559,44749,NON-SECTOR,18.27,96,350,278.082,1992,S,GBR,N,Y
AYR,KIRKCUDBRIGHT,DS3,ATLANTIS BELLE,B10742,40998,NORTH SEA FISHERMENS ORGANISATION LTD,18.27,72,374,281.574,1989,S,GBR,N,Y
AYR,AYR,TN16,NATHALIE,A13440,50283,NORTHERN PRODUCERS ORGANISATION LTD,18.35,65,294,240.198,1971,W,GBR,N,N
AYR,AYR,BA9,OLIVE BRANCH,A12963,40275,NON-SECTOR,18.59,71,171,189.234,1971,W,GBR,N,Y
AYR,ANNAN,BA338,FREDWOOD,A10461,41075,NON-SECTOR,19.35,45.17,366.5,285.862,1975,W,GBR,N,Y
AYR,TROON,BA55,OCEAN MAID,A10265,44038,SCOTTISH FISHERMENS ORGANISATION,19.62,60,223,222.975,1973,W,GBR,N,N
AYR,TROON,BA280,FREEDOM III,A10423,44058,SCOTTISH FISHERMENS ORGANISATION,19.72,62,272,238.354,1967,W,GBR,N,N
AYR,AYR,GK7,BEN LOYAL,A13786,44658,NON-SECTOR,21.22,66,171,208.302,1960,W,UNK,N,N
AYR,KIRKCUDBRIGHT,BA87,KING CHALLENGER,C18580,41097,SOUTH WESTERN FPO LTD,21.3,192,537,408.003,2005,S,GBR,N,Y
AYR,BALLANTRAE,BA810,KINGFISHER,C16272,40836,SOUTH WESTERN FPO LTD,22.94,163,499,385.13,1998,S,GBR,N,Y
AYR,KIRKCUDBRIGHT,TN2,TOBRACH N,C16633,40885,NON-SECTOR,23.07,146.51,220,260.49,1999,S,GBR,N,Y
AYR,KIRKCUDBRIGHT,BA829,KING EXPLORER,C17308,11510,SOUTH WESTERN FPO LTD,23.66,202,459,376.902,2001,S,GBR,N,Y
AYR,AYR,BA858,ARGONAUT,C20352,41614,NON-SECTOR,23.96,150,221,262.378,1992,S,NLD,N,Y
AYR,AYR,BA4,SARAH LOUISE,C20130,12204,SOUTH WESTERN FPO LTD,23.99,164,221,260.663,1991,S,NLD,N,Y
AYR,AYR,KY43,SATURNUS,C19468,41643,NON-SECTOR,24,156,221,260.25,1990,S,NLD,N,Y
AYR,KIRKCUDBRIGHT,FR357,SUSAN BIRD,A16749,40941,NON-SECTOR,24.8,88,410,331.812,1964,S,NLD,N,Y
AYR,AYR,TN38,GEORGELOU - N,A21593,41590,SOUTH WESTERN FPO LTD,25.5,160,615,464.685,1978,S,GBR,N,Y
AYR,KIRKCUDBRIGHT,DS11,VERTROUWEN,B10005,44242,NORTH SEA FISHERMENS ORGANISATION LTD,26.24,144.5,550,415.436,1968,S,NLD,N,Y
AYR,AYR,INS29,INVERDALE,C19414,10412,WALES AND WEST COAST FPO LTD,26.3,150.9,295.6,317.646,1992,S,ESP,N,N
AYR,AYR,UL37,BRISCA,A19101,10767,FLEETWOOD FPO LTD,26.75,302,619,499.237,1987,S,GBS,N,N
AYR,AYR,DS15,CLASINA,A14749,41033,NORTH SEA FISHERMENS ORGANISATION LTD,28.04,165,557,446.93,1968,S,NLD,N,Y
AYR,TROON,AR865,CABO ORTEGAL,B14430,40638,FLEETWOOD FPO LTD,28.13,203,220,295.91,1991,S,ESP,N,N
AYR,AYR,OB1015,FEITIZO,A19126,10780,NORTHERN PRODUCERS ORGANISATION LTD,29.1,215,675.13,507.509,1970,S,ESP,N,N
AYR,AYR,PD905,HONEYBOURNE III,B12744,44752,NORTH SEA FISHERMENS ORGANISATION LTD,29.16,215,588,483.3,1982,S,NLD,N,Y
AYR,AYR,UL591,MAREIXON,C20211,41544,NORTHERN PRODUCERS ORGANISATION LTD,29.3,223,471,422.91,1999,S,ESP,N,N
AYR,AYR,OB93,COELLEIRA,A18855,11714,NORTHERN PRODUCERS ORGANISATION LTD,30,210,596,472.2,1970,S,NLD,N,N
AYR,KIRKCUDBRIGHT,TN37,PHILOMENA,B11107,40521,SOUTH WESTERN FPO LTD,30.57,176,543,458.34,1970,S,,N,Y
AYR,AYR,TN30,NOORDZEE,C20283,41598,THE FIFE FPO LTD,31.1,249,742,567.15,1980,S,NLD,N,Y
AYR,CORUNNA,AR94,AYR QUEEN,A10123,10012,NORTHERN PRODUCERS ORGANISATION LTD,32.31,290,522,464.947,1961,S,GBR,N,N
AYR,AYR,TN36,MATTANJA,B11224,11772,SOUTH WESTERN FPO LTD,32.5,217,746,579.45,1973,S,NLD,N,Y
AYR,AYR,TN20,SEA LADY,B12151,11816,SOUTH WESTERN FPO LTD,32.8,239,747,575.59,1985,S,NLD,N,Y
AYR,AYR,OB113,PATRICIA MARTA,C19630,10411,NORTHERN PRODUCERS ORGANISATION LTD,32.99,291,359,415.573,1995,S,ESP,N,N
AYR,AYR,TN35,OLIVIA JEAN,B12608,11855,SOUTH WESTERN FPO LTD,33.86,242,749,591,1980,S,NLD,N,Y
AYR,BALLANTRAE,DS10,ALBION,B13827,40910,NORTH SEA FISHERMENS ORGANISATION LTD,34.9,375,855,677.91,1986,S,BEL,N,Y
AYR,AYR,UL666,TAHUME,A13160,10142,FLEETWOOD FPO LTD,35.28,315,485,465.563,1957,S,GBR,N,N
AYR,AYR,UL578,CHRISTIAN M,B14393,11738,NORTHERN PRODUCERS ORGANISATION LTD,35.4,322,597,544.77,1972,S,FRA,N,N
AYR,AYR,DS18,CORNELIS GERT JAN,B13544,41405,NORTH SEA FISHERMENS ORGANISATION LTD,35.77,328,745,621.41,1985,S,BEL,Y,Y
AYR,AYR,UL576,BROSME,A19315,10784,NORTHERN PRODUCERS ORGANISATION LTD,37.66,299.23,552,508.254,1974,S,ESP,N,N
AYR,AYR,AR1,MAGAN D,A17149,44670,NORTHERN PRODUCERS ORGANISATION LTD,38.06,263,500,499.032,1968,S,ESP,N,N
AYR,AYR,UL257,EDER SANDS,A14920,10276,FLEETWOOD FPO LTD,38.2,307,746,614.56,1974,S,ESP,N,N
AYR,UNSPECIFIED SPANISH PORT,BM254,BLUE GATE,A14917,10275,NON-SECTOR,38.59,324,1177,808.656,1975,S,ESP,N,N
