Ship name,Home port,Lat,Lng,Total quota
CORNELIS VROLIJK FZN,IJMUIDEN,52.4569544,4.6060138,457166
VOYAGER,LONDONDERRY,54.9966124,-7.3085748,405537
CHRIS ANDRA,FRASERBURGH,57.693352,-2.007631,292143
PATHWAY,PETERHEAD,57.508123,-1.784066,290352
QUANTUS,PETERHEAD,57.508123,-1.784066,173995
CHRISTINA S,FRASERBURGH,57.693352,-2.007631,168076
RESEARCH W,WHALSAY AND SKERRIES,60.2915931,-0.9537366,163974
SERENE,LERWICK,60.155823,-1.144569,160038
SERENE,LERWICK,60.155823,-1.144569,160038
SERENE,LERWICK,60.155823,-1.144569,160038
LUNAR BOW,PETERHEAD,57.508123,-1.784066,159377
ANTARES,KILKEEL,54.0630359,-6.0069415,143834
ZEPHYR,KILKEEL,54.0630359,-6.0069415,139434
WIRON 5,PLYMOUTH,50.3754565,-4.1426565,126957
RESOLUTE,GARDENSTOWN,57.666,-2.333,121454
CHALLENGE,FRASERBURGH,57.693352,-2.007631,113399
TAITS,FRASERBURGH,57.693352,-2.007631,101411
OCEAN QUEST,FRASERBURGH,57.693352,-2.007631,99437
OCEAN VENTURE,PORTAVOGIE,54.46208,-5.44743,95333
CHARISMA,MACDUFF,57.67059,-2.497849,90624
CHARISMA,MACDUFF,57.67059,-2.497849,90624
CHARISMA,MACDUFF,57.67059,-2.497849,90624
FOREVER GRATEFUL,FRASERBURGH,57.693352,-2.007631,90321
UNITY,SEAHOUSES,55.581148,-1.651159,80136
FARNELLA,HULL,53.7456709,-0.3367413,74246
WIRON 6,PLYMOUTH,50.3754565,-4.1426565,72722
ANTARCTIC II,WHALSAY AND SKERRIES,60.2915931,-0.9537366,71216
ARCTIC WARRIOR,HULL,53.7456709,-0.3367413,70379
ADMIRAL GORDON,PLYMOUTH,50.3754565,-4.1426565,55064
HAVILAH,BELFAST,54.597285,-5.93012,54041
NORMA MARY,GRIMSBY,53.567471,-0.080784,43159
AUDACIOUS,PETERHEAD,57.508123,-1.784066,40372
OUR LASS III,NORTH SHIELDS,55.010762,-1.449138,32714
AALSKERE,KIRKWALL,58.984674,-2.962249,32335
PROVIDER II,PLYMOUTH,50.3754565,-4.1426565,26634
BOY ANDREW,ARDGLASS,54.26019,-5.61015,25893
VENTURE II,WHITEHILLS,57.676859,-2.580352,24431
